lat,lng
33.909,-118.333
37.9656,-121.718
39.1236,-121.583
38.1072,-122.228
33.8031,-117.943
34.6666,-118.131
37.0857,-120.828
33.2498,-117.309
37.626,-121.011
38.2436,-121.312
37.9531,-121.266
37.3603,-120.654
33.8479,-118.19
38.1519,-122.261
37.4717,-122.14
33.8447,-118.307
35.3998,-118.952
38.1472,-122.24
34.026,-118.461
38.4655,-121.459
36.4144,-118.925
37.9218,-121.298
37.7649,-122.423
37.7976,-122.212
36.9613,-120.061
36.6799,-121.606
37.7767,-122.419
37.7389,-122.169
37.9625,-121.276
33.8728,-118.171
36.7054,-119.76
38.7354,-121.226
38.1517,-122.25
33.8249,-117.227
33.9454,-118.399
37.7488,-122.165
36.7297,-119.81
34.1204,-117.992
37.3389,-120.497
36.737,-119.773
34.1481,-118.209
34.1259,-118.186
35.3229,-119.038
33.7201,-117.985
37.333,-121.888
32.6733,-117.082
33.194,-117.235
39.731,-121.896
32.5453,-117.045
33.1626,-117.218
36.3196,-119.346
36.7745,-119.83
37.2842,-120.323
37.3382,-121.886
38.272,-122.024
40.5334,-122.385
33.9111,-118.239
33.8448,-116.451
34.0476,-117.761
33.8295,-118.077
34.1468,-117.257
37.7759,-122.222
37.6939,-122.184
37.7397,-122.156
35.3112,-119.013
37.6159,-121.012
36.6867,-121.62
33.9979,-117.96
34.959,-120.527
35.3532,-119.05
33.9455,-118.274
37.7676,-122.169
38.0222,-121.289
38.4662,-121.433
33.7701,-118.194
33.7345,-117.868
33.9277,-118.246
36.7652,-119.745
39.7213,-121.847
39.7702,-121.85
34.1462,-118.232
39.7385,-121.875
40.9564,-124.113
37.7461,-122.156
33.9309,-118.355
34.1038,-118.177
32.9466,-117.092
40.7931,-124.158
36.7459,-119.135
34.1974,-118.602
34.0535,-118.225
34.1349,-116.344
37.5023,-122.273
36.7141,-119.787
33.855,-117.539
37.7547,-122.426
36.7477,-119.782
34.0625,-118.123
34.1589,-118.522
34.1233,-117.889
36.3088,-119.267
34.1826,-118.453
38.422,-122.744
34.2191,-118.605
33.7337,-117.846
37.7678,-122.154
33.8374,-117.217
34.1633,-118.158
32.7151,-117.107
32.7338,-117.193
34.0816,-118.19
38.6854,-121.62
37.4708,-122.202
34.0162,-117.344
39.4988,-121.547
37.951,-122.028
34.0898,-118.35
34.1099,-117.154
33.7087,-117.15
37.9529,-122.044
37.5897,-122.07
37.5986,-122.387
33.9972,-117.485
37.6358,-122.4
41.0593,-124.143
34.421,-118.931
36.636,-119.556
38.6477,-121.464
36.1357,-120.354
32.7136,-117.084
36.705,-121.653
37.6141,-120.989
36.7814,-119.754
35.3612,-118.994
35.3258,-119.01
34.0628,-117.732
33.0111,-117.085
34.1687,-118.383
35.7636,-119.234
32.6121,-117.082
37.7471,-122.404
34.4319,-118.93
34.5255,-117.3
37.384,-120.605
33.9702,-118.262
32.7629,-117.016
34.0037,-118.298
33.97,-118.263
37.4661,-122.147
37.5215,-121.914
33.9835,-118.293
35.3594,-118.987
33.9967,-118.115
40.4638,-122.339
37.2988,-121.954
33.9593,-118.278
37.4245,-121.883
34.5011,-117.539
34.0641,-118.371
40.7324,-124.212
36.9342,-121.774
33.9872,-118.274
33.9478,-116.482
37.7786,-122.432
37.9549,-121.288
36.8081,-119.889
37.7938,-122.24
33.8847,-118.073
36.7505,-119.782
33.9567,-118.356
38.1826,-122.139
33.7768,-116.941
33.6943,-117.339
34.1195,-117.281
34.0488,-118.204
34.0131,-118.41
34.0626,-117.593
32.9493,-117.247
36.7523,-119.736
34.5659,-118.043
32.7136,-117.087
37.7516,-122.154
33.8474,-118.212
37.8215,-122.27
33.8646,-118.319
34.4319,-118.93
34.1286,-117.241
38.6173,-121.342
39.7285,-121.837
33.5457,-115.977
34.0383,-118.235
33.9019,-118.293
38.1031,-122.26
34.6749,-118.166
37.7813,-122.426
37.9948,-121.716
37.9975,-121.321
36.6679,-121.657
37.7454,-122.158
33.9491,-118.347
36.7123,-121.622
33.7781,-116.357
35.7615,-119.182
34.0414,-117.156
34.959,-120.527
33.785,-118.179
34.069,-118.3
36.7607,-119.716
36.8126,-119.766
34.069,-118.3
33.9713,-118.357
37.7104,-121.91
37.4854,-120.854
33.2048,-117.374
33.7477,-116.931
34.4558,-117.515
37.767,-122.2
33.7444,-118.024
32.6784,-117.059
37.7749,-122.419
37.7716,-122.205
34.079,-118.372
33.9386,-118.091
33.9718,-118.346
38.0906,-122.233
39.7351,-121.852
37.9832,-121.685
35.7796,-119.241
37.6432,-121.03
38.6003,-121.42
33.7989,-118.184
36.6005,-119.44
36.7441,-119.802
38.5745,-121.495
37.7998,-122.272
37.3715,-121.93
36.7285,-119.8
36.7571,-119.91
37.4505,-122.166
35.376,-118.95
33.2067,-117.287
37.6824,-122.089
33.7306,-117.856
37.7994,-122.251
34.0497,-118.196
34.1631,-118.562
32.781,-115.552
33.9792,-118.033
37.0416,-122.151
38.1333,-121.311
33.7417,-117.889
38.6951,-121.59
38.5118,-121.481
34.9498,-120.414
37.7329,-122.401
37.7249,-122.156
34.1759,-118.421
33.9023,-118.078
37.9649,-121.777
35.7847,-119.25
33.9189,-118.27
39.1296,-121.611
33.9535,-118.368
36.7353,-119.79
40.5613,-122.401
37.372,-121.921
33.7826,-118.18
37.6974,-122.135
36.7178,-119.789
36.773,-119.857
33.9578,-116.501
34.1377,-116.047
33.1576,-117.114
37.786,-122.196
33.6968,-116.209
35.3769,-118.993
37.786,-122.196
40.1796,-122.245
33.9596,-116.51
38.5526,-121.376
36.7942,-119.696
34.5329,-117.228
36.7696,-119.668
40.2288,-123.856
37.3707,-120.691
37.8044,-122.205
38.5757,-121.301
37.3145,-120.462
34.1075,-117.291
32.8224,-115.587
40.4793,-123.696
34.5209,-117.317
33.8318,-118.16
36.746,-119.752
38.5749,-121.304
33.6709,-116.18
36.7319,-119.788
32.7993,-115.561
37.8038,-122.239
36.3099,-119.322
37.6213,-122.379
34.416,-118.459
32.8328,-117.153
37.7566,-122.395
34.416,-118.459
33.1681,-117.248
33.9833,-118.097
37.6074,-121.03
33.9225,-116.441
33.675,-116.304
33.1611,-117.242
36.3087,-119.261
36.0613,-119.023
36.7041,-119.798
37.3249,-121.784
37.7795,-122.219
32.7678,-117.023
40.5894,-122.358
37.7329,-122.379
37.5765,-121.977
37.7189,-122.136
37.8162,-122.279
38.0893,-122.235
34.0631,-117.782
37.7994,-122.438
32.8515,-117.25
33.8815,-118.295
33.6725,-116.308
33.4723,-117.114
34.5002,-117.293
34.0114,-118.345
34.056,-117.598
38.0041,-122.293
37.7126,-122.22
34.0482,-118.211
38.612,-121.451
33.9976,-118.265
34.2336,-118.451
38.47,-121.828
34.0071,-118.095
36.7178,-119.78
36.7886,-119.784
37.6824,-122.089
37.7523,-122.397
34.0158,-118.1
37.337,-120.48
33.9576,-118.293
34.2063,-119.16
32.9808,-115.53
37.3688,-120.592
33.773,-116.959
37.9308,-122.348
37.959,-122.349
33.9416,-118.409
34.2746,-119.229
38.5844,-121.494
38.0021,-121.291
35.1993,-118.521
39.4668,-121.526
37.7311,-122.382
33.994,-118.296
37.7199,-122.403
38.5844,-121.494
35.6369,-120.655
36.7468,-119.773
32.7042,-117.099
33.9739,-118.222
37.2999,-120.493
34.0267,-118.273
34.0437,-118.418
34.0679,-117.975
37.7417,-122.165
37.678,-122.099
37.714,-122.443
36.9267,-121.769
33.9442,-118.029
37.9169,-121.261
33.9776,-118.255
34.7439,-117.352
33.5011,-117.681
33.9454,-118.198
37.9694,-122.293
37.3854,-121.837
34.0618,-118.29
37.7511,-122.175
33.7328,-117.816
34.1993,-118.54
32.6035,-117.043
32.7116,-117.161
34.1721,-118.432
34.1939,-118.539
33.8747,-118.182
36.0963,-119.584
33.3582,-117.241
37.0206,-121.602
34.0183,-118.176
34.0144,-118.166
35.764,-119.248
33.7287,-116.216
33.9187,-116.88
34.1066,-117.823
37.7752,-122.221
40.8834,-124.091
32.6885,-115.494
36.7525,-119.789
40.487,-122.369
37.5518,-122.314
37.9595,-121.277
33.9905,-118.287
34.2946,-119.3
34.1365,-117.251
37.6883,-122.407
34.0095,-117.885
37.8089,-122.213
33.6779,-116.185
38.6951,-121.59
34.0098,-117.885
35.4232,-119.02
38.4627,-121.316
33.7899,-118.177
38.2556,-122.024
33.9522,-118.115
33.7366,-116.982
33.7654,-117.273
37.7126,-122.463
33.7481,-117.861
38.7978,-120.889
37.9925,-122.329
37.9843,-120.303
33.9091,-118.032
37.6213,-122.379
38.6238,-121.438
36.6905,-121.597
37.3208,-121.824
37.7848,-122.408
34.171,-118.149
34.2212,-119.194
37.6826,-122.122
33.8245,-118.185
37.9951,-121.304
39.2763,-122.194
37.9957,-121.302
38.2789,-122.006
