lat,lng
41.7592,-87.5628
41.7358,-87.6631
41.8968,-87.7556
41.8859,-87.6251
41.7904,-87.649
41.7513,-87.6027
41.9335,-87.7445
41.7621,-87.6152
41.9691,-87.6548
41.7858,-87.6061
41.689,-87.6157
41.8798,-87.7232
41.9653,-87.6557
41.803,-87.6699
41.7854,-87.6209
41.7035,-87.6259
41.9873,-87.6582
41.7402,-87.6114
41.7028,-87.5596
41.6873,-87.6303
41.8917,-87.7235
41.9393,-87.7245
41.8807,-87.7605
41.7991,-87.7013
41.8312,-87.6216
41.8248,-87.6144
41.7481,-87.6844
41.7643,-87.5836
41.7572,-87.5627
41.7773,-87.6864
41.8954,-87.7212
41.7643,-87.5836
41.7732,-87.6104
41.8517,-87.7235
41.8918,-87.715
41.7742,-87.641
41.9035,-87.6598
41.782,-87.611
41.8385,-87.7296
41.8827,-87.7733
41.9715,-87.8954
41.71,-87.5523
41.709,-87.6199
41.9194,-87.7138
41.85,-87.7052
41.8745,-87.7236
41.8824,-87.6793
41.7465,-87.6637
41.8551,-87.6834
41.7669,-87.6448
41.7809,-87.6865
41.7125,-87.6264
41.857,-87.7155
41.8934,-87.7484
41.7753,-87.6924
41.7445,-87.6317
41.7125,-87.6264
41.8182,-87.6299
41.8958,-87.7074
41.7994,-87.6651
41.743,-87.6636
41.7301,-87.5513
41.7405,-87.5798
41.7105,-87.6372
41.9589,-87.7532
41.8942,-87.6389
41.8831,-87.6816
41.9588,-87.7529
41.8502,-87.6786
41.9175,-87.7
41.7685,-87.6546
41.9301,-87.7196
41.9715,-87.8954
41.8815,-87.6794
41.8749,-87.6937
41.7409,-87.5612
41.9715,-87.8954
41.8704,-87.7393
41.8021,-87.615
41.8016,-87.6429
41.9121,-87.7038
41.8444,-87.7198
41.7993,-87.6724
41.8387,-87.7268
41.8966,-87.6357
41.9428,-87.7199
41.7929,-87.6192
41.7729,-87.6187
41.882,-87.7208
41.7514,-87.6073
42.0036,-87.6608
41.7787,-87.5864
41.8781,-87.6298
41.7797,-87.6521
41.8559,-87.6711
41.8543,-87.6223
41.8781,-87.6298
41.9177,-87.7072
41.7632,-87.6541
41.7585,-87.6115
41.7683,-87.6834
41.8555,-87.6956
41.9038,-87.729
41.9715,-87.8954
41.9746,-87.7668
41.7942,-87.633
41.7561,-87.6399
41.8781,-87.6298
42.0038,-87.6727
41.9023,-87.7484
41.8068,-87.6568
41.7465,-87.6649
41.8497,-87.7153
41.765,-87.6809
41.7662,-87.5629
41.8797,-87.7355
41.9204,-87.7699
41.8643,-87.6588
41.7471,-87.7075
41.7074,-87.6065
41.8611,-87.6948
41.7839,-87.6144
41.9654,-87.6487
41.8857,-87.7667
41.8901,-87.7177
41.8588,-87.6272
41.9325,-87.666
41.7975,-87.6317
41.7894,-87.7416
41.96,-87.6654
41.7734,-87.5886
41.7458,-87.605
41.899,-87.7693
41.777,-87.7839
41.8789,-87.7734
41.9715,-87.8954
41.7434,-87.5503
41.9247,-87.7343
41.8544,-87.7151
41.8844,-87.7568
41.8272,-87.6339
41.8534,-87.676
41.803,-87.6818
41.7278,-87.5722
41.7274,-87.605
41.8847,-87.6242
41.8781,-87.6298
41.8698,-87.7229
41.837,-87.6145
41.7486,-87.648
41.7043,-87.6206
41.7958,-87.6625
41.8894,-87.6646
41.8549,-87.7203
41.7699,-87.5666
41.8035,-87.6214
41.73,-87.6633
41.7904,-87.6814
41.8104,-87.6675
41.7904,-87.6814
41.7485,-87.6552
41.6818,-87.6325
41.7275,-87.5858
41.7796,-87.6742
41.8519,-87.6954
41.734,-87.6524
41.75,-87.6853
41.8871,-87.6844
41.8833,-87.6296
41.7508,-87.6341
41.723,-87.6628
41.8877,-87.7651
41.8733,-87.7431
41.8945,-87.6601
41.8907,-87.7483
41.7282,-87.5581
41.6864,-87.5316
41.7282,-87.6398
41.759,-87.5684
41.7443,-87.6136
41.9701,-87.7208
41.8551,-87.6785
41.8412,-87.6902
41.9478,-87.7078
41.7954,-87.6962
41.9715,-87.8954
41.7714,-87.6739
41.8767,-87.7455
41.8525,-87.7407
41.8753,-87.7255
41.7564,-87.5864
41.7721,-87.6737
41.7372,-87.5546
41.7041,-87.6476
41.8528,-87.6228
41.7223,-87.5847
41.7182,-87.5558
41.7832,-87.6489
41.9285,-87.6321
41.6591,-87.6034
41.858,-87.669
42.0026,-87.6608
41.7959,-87.6516
41.8385,-87.7308
41.776,-87.6462
41.9704,-87.7223
41.9715,-87.8954
41.8144,-87.6338
41.7581,-87.654
41.7669,-87.6542
41.8771,-87.7337
41.8784,-87.6818
41.8783,-87.6867
41.6688,-87.637
41.6777,-87.6416
41.8953,-87.6514
41.7552,-87.5703
41.6482,-87.5456
42.0115,-87.8152
41.8953,-87.6491
41.8964,-87.6504
41.7835,-87.6376
41.915,-87.7421
41.6797,-87.6359
41.8812,-87.684
41.7191,-87.6495
41.8526,-87.7248
41.8307,-87.6154
41.7338,-87.6177
41.8014,-87.6444
42.0082,-87.6682
41.7245,-87.5511
41.8022,-87.6188
41.8204,-87.6053
41.7193,-87.6311
41.9687,-87.6877
41.7642,-87.5859
41.9065,-87.7149
41.9246,-87.7268
41.7817,-87.6121
41.7704,-87.657
41.7921,-87.6378
41.7838,-87.6206
41.8025,-87.5854
41.8993,-87.6968
41.8026,-87.6661
41.8007,-87.6661
41.7652,-87.6469
41.7443,-87.5616
41.689,-87.6157
41.71,-87.6237
41.7609,-87.5664
41.742,-87.5625
41.7427,-87.5637
41.8143,-87.6164
41.9654,-87.6548
41.7793,-87.6843
41.9654,-87.6548
41.7536,-87.5626
41.742,-87.5783
41.7793,-87.6843
41.8891,-87.7688
41.8977,-87.7262
41.8954,-87.7175
41.7777,-87.6536
41.9692,-87.6604
41.8857,-87.7113
41.7188,-87.6493
41.7831,-87.668
41.8661,-87.7313
41.8974,-87.7179
41.8751,-87.7596
41.7033,-87.6226
42.018,-87.6805
41.7448,-87.6588
41.9158,-87.6985
41.6571,-87.598
41.8444,-87.7123
41.8789,-87.7338
41.8754,-87.6411
41.7258,-87.5997
41.7088,-87.6368
41.7062,-87.6537
41.6941,-87.6578
41.9024,-87.7414
41.8781,-87.6298
41.8793,-87.6912
41.7818,-87.6158
41.9594,-87.7161
42.0194,-87.6701
41.7656,-87.698
41.8877,-87.7651
41.7865,-87.6863
41.7792,-87.6873
41.8043,-87.6454
41.7536,-87.6515
41.8029,-87.6867
41.7743,-87.6447
41.783,-87.5891
41.9014,-87.6536
41.9243,-87.747
41.7405,-87.7025
41.6995,-87.6284
41.7441,-87.6002
41.9167,-87.6898
41.7476,-87.6926
41.7403,-87.5625
41.7791,-87.6946
41.7923,-87.656
41.7306,-87.6411
41.9102,-87.6933
42.0078,-87.6722
41.8721,-87.7085
41.8934,-87.6942
41.753,-87.5688
41.7779,-87.6132
41.7422,-87.5564
42.0026,-87.6609
41.891,-87.6672
41.7515,-87.5876
41.7458,-87.6039
41.745,-87.7386
41.6762,-87.6204
41.8049,-87.6673
41.8899,-87.7457
41.7663,-87.5755
